id,Count,Word
134,161,chatbots
456,161,isnt
807,161,soon
687,161,provides
49,160,annual
102,160,bringing
118,160,card
207,160,design
547,159,means
106,159,built
48,158,announcing
866,158,test
551,158,messaging
996,158,youre
171,157,consumers
81,156,battle
480,156,largest
621,155,original
838,155,store
839,154,stories
39,153,analytics
607,153,offers
183,153,creating
835,153,stock
284,152,executive
103,152,brings
464,151,job
581,151,nearly
971,151,weeks
664,151,president
65,151,assistant
708,150,really
517,150,looking
791,150,site
882,148,times
858,148,talk
895,148,trade
506,148,little
545,148,massive
889,147,took
371,147,got
289,147,expected
843,146,streaming
303,146,far
115,146,campaign
628,146,partnership
901,145,try
756,145,say
867,145,testing
244,145,earlier
98,145,brand
718,145,releases
415,145,improve
686,144,provider
320,144,focus
964,144,web
154,143,community
661,142,potential
11,142,action
315,141,financial
132,141,chat
579,140,music
646,140,platforms
212,140,details
170,140,consumer
566,139,mode
263,139,email
149,139,cofounder
683,138,project
625,137,participation
490,137,lead
139,136,chip
498,136,let
327,136,founder
920,136,updates
862,136,technologies
677,135,process
109,135,buy
916,135,unveils
198,135,debut
251,134,ecommerce
46,134,announcement
792,133,skills
77,133,away
502,133,likely
378,132,grow
902,132,trying
94,131,board
949,131,vision
850,131,success
766,131,seen
175,131,control
736,130,robots
676,130,problem
518,130,looks
818,130,sports
713,130,record
697,129,raise
725,129,results
129,129,changes
24,128,advertising
221,128,did
801,128,social media
142,127,cities
286,127,expand
673,127,private
393,127,helps
471,126,key
460,126,itu2019s
444,126,introduced
784,126,showed
20,125,adds
140,125,chips
186,125,creators
660,125,post
855,125,systems
938,125,venture capital
619,125,order
605,124,offer
976,124,wireless
883,124,title
936,123,vehicles
112,123,calls
741,123,rolling
281,123,events
395,123,high
583,123,needs
808,122,source
544,121,markets
959,121,watch
888,121,told
982,121,worlds
868,121,thanks
411,120,idea
780,120,shares
759,120,scifi
146,120,closed
980,120,works
637,120,personal
731,119,review
705,119,ready
232,118,doesnt
334,118,friends
27,118,ahead
876,118,thing
630,118,pay
908,118,u2014
404,118,huge
372,118,government
627,117,partners
331,117,freetoplay
439,117,interactive
265,117,enable
199,117,debuted
375,117,graphics
358,116,gives
419,116,includes
726,116,retail
993,116,years ago
631,115,payments
740,115,roleplaying game
385,115,having
291,115,experiences
709,115,realtime
748,114,running
119,114,cards
398,114,hits
653,114,playing
969,114,weekly
657,113,point
322,113,following
730,113,revenues
392,113,helping
965,113,website
29,113,aimed
448,113,investor
430,112,innovation
769,112,sell
273,112,entrepreneurs
122,111,case
227,111,director
892,111,total
386,111,head
491,110,leader
200,110,debuts
